SAMPLE_ID, Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Biphasic , Epithelioid , Biphasic , Biphasic , Biphasic , Biphasic , Epithelioid , Epithelioid , Biphasic , Epithelioid , Sarcomatoid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Biphasic , Biphasic , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Biphasic , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Sarcomatoid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Biphasic , Biphasic 
HAND1,0,0.8541,0,1.9486,0.4958,0,0,0.4751,0,0.5364,0,0,0,0.8889,0,0,0,1.8108,1.1411,0.3694,1.0982,6.5343,0,5.7102,0,0,1.5595,0,0,2.8651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305.63,0.4575,0.678,0,0,1.1919,0.4523,0,33.0306,2.3627,0.5322,0,0,8.6101,1.4318,0,1.2981,0,1.0564,0,0,0,0,0,0,0.4263,0.5758,0,61.9771,0.5594,0,0,0,0,2.9256,0,0.8754,0,0,6.427,0
HAND2,35.3659,31.1733,70.997,13.6402,50.0806,7.8713,15.8494,22.3278,193.689,35.9391,31.6283,208.719,55.7782,112,179.471,60.4713,58.1575,20.8239,8.7486,17.7334,0,30.3844,282.398,104.415,68.6425,49.016,11.9558,92.3404,12.3165,41.0658,51.9818,8.8594,367.864,3.9017,22.5367,8.1574,32.4345,84.7604,116.342,183.757,9.5251,185.944,114.699,31.0448,256.018,553.894,3.4632,24.2452,206.102,0,103.675,144.219,232.926,28.0374,110.713,481.394,720.596,55.7007,25.861,62.3206,21.8345,4.4488,3.8944,228.87,48.5928,59.2066,1174.12,113.488,34.0064,19.5543,19.1327,96.7604,38.0004,21.6664,266.415,19.5777,65.0439,198.28,52.5431,5.6543,64.3628,658.766,67.9895,25.4777,48.8736,92.388,39.916
MEIS1,89.0244,132.38,170.695,81.3543,165.613,44.9126,736.602,971.971,96.8444,323.452,374.073,523.603,258.313,239.111,596.191,265.007,356.665,614.305,60.0989,62.0671,117.503,125.785,593.82,110.941,437.264,222.8,258.35,113.617,143.693,702.893,70.0077,64.9686,22.9047,53.453,183.962,384.837,379.836,104.657,148.268,234.775,203.731,337.099,42.4292,514.388,285.621,92.2118,19.0476,132.662,461.017,126.937,252.506,864.124,218.453,99.0654,625.134,109.864,450.24,360.065,291.931,150.471,167.159,218.487,335.353,238.784,378.179,207.618,276.449,92.6266,256.111,184.04,62.0748,277.92,306.882,60.8178,677.874,388.197,138.468,61.587,80.0367,84.8142,130.554,598.837,155.821,308.917,303.551,53.0227,100.49
MEIS2,3121.34,3105.37,532.477,503.714,1178.63,471.351,1345.22,922.09,384.657,3192.68,802.811,569.102,1849.89,936,1493.03,2480.21,1253.73,1837.48,279.954,1486.28,99.3837,917.741,4355.99,3499.54,1894.31,3407.35,959.064,1142.13,159.704,541.495,531.555,208.195,806.524,2933.67,1150.94,2262.48,586.167,871.083,1158.01,1018.93,604.313,2586.02,1830.98,918.925,700.065,1513.4,117.749,865.05,575.593,2766.64,799.908,2164.08,514.699,2993.93,2154.33,480.803,166.046,607.734,1952.01,1220.17,3667.11,1500.74,160.104,1603.39,1371.69,1574.9,797.545,3388.38,2283.21,1657.51,1321,1767.69,1589.68,2844.75,2420.12,1490.7,809.258,832.927,3060.33,747.173,1514.35,1634.62,2645.17,2433.58,3236.35,1566.58,828.081
MEIS3,489.024,86.2603,315.71,220.68,251.89,275.958,47.5483,22.3278,608.814,13.4101,455.291,696.933,205.242,322.667,141.634,189.417,421.513,112.268,1563.33,160.709,90.5984,121.211,846.409,880.188,145.628,25.622,341.001,125.957,602.279,236.844,417.95,624.585,253.34,50.3316,365.828,59.501,243.454,153.603,39.5022,444.986,1869.56,159.552,29.8403,177.672,189.655,56.0748,67.5325,129.918,240,119.262,282.456,1216.92,507.463,168.224,601.278,1467.22,857.371,87.5296,95.4868,960.23,414.497,92.437,373.864,164.218,1200.03,135.78,249.056,121.416,261.955,154.134,163.265,96.3342,990.314,74.1217,918.035,869.808,242.618,240.715,51.3212,260.905,17.9192,145.796,513.569,40.0364,32.4551,110.866,931.723
MIXL1,0,0.427,0,2.4358,4.4626,1.8521,1.1887,1.9002,0,4.2912,0.3905,2.1666,3.7908,0,1.0226,0.4446,0,4.0742,0.7607,0,0.5491,0,0,0,0,0.7427,1.0396,0.8511,1.6422,0,0,5.4141,0,0.3902,0.5241,13.9155,0.3908,0,1.6234,7.0858,0,0.3999,0.4663,0,0.3253,0,0,0.9149,0,0,1.3823,0.7946,0.9046,0.9346,0,0,0,0.4973,0.4973,0,0,0.4943,0.4327,0,1.0564,0,0,0.8345,0.5313,0.5751,1.7007,0.4263,0.5758,0,2.152,0,0,0.7511,0.611,2.0194,0,0,0.2918,0.9099,0.7637,0,0
EOMES,6.7073,28.1841,8.6858,894.41,4.4626,103.253,49.5295,51.7815,14.1458,20.3834,3.1238,40.4438,58.4859,8,35.2806,13.7839,8.7494,43.0059,36.8962,10.714,18.1197,35.2852,22.7487,9.7889,67.5048,19.3093,21.3125,31.9149,203.223,2.8651,114.025,171.281,3.4704,29.6528,7.8616,7.6775,7.4248,39.7936,84.9567,11.8096,21.696,56.3831,14.9202,30.5672,55.9532,7.4766,3.4632,8.6917,5.4237,13.5793,30.872,21.4541,53.8218,68.6916,11.0102,34.2587,5.8542,37.2996,15.9145,35.2604,12.528,35.5907,334.055,42.6708,3.6973,3.1577,12.5945,9.5964,13.2837,22.4299,49.7449,77.1526,115.729,26.2277,21.5198,12.8653,24.7406,2.2532,21.9948,182.956,198.208,16.5474,5.836,41.8562,59.9465,0.8034,82.2829
GATA4,101.219,146.899,657.855,15.5888,1356.64,233.823,2463.79,311.164,10.8814,339.545,516.986,115.554,369.327,447.111,1007.8,2658.96,516.727,879.583,194.751,1136.79,2.7454,203.216,1134.3,1742.43,1716.44,17.4527,415.335,2163.4,436.005,3402.25,316.921,577.827,2910.98,1145.53,411.426,3746.64,65.6506,358.938,255.952,1805.93,330.202,1233.23,306.329,567.881,967.794,1305.3,2329.87,1812.9,454.237,453.432,18.4311,291.22,0,1286.92,237.942,8.86,77.7009,870.82,271.043,240.672,2067.11,92.437,82.2155,271.972,130.461,3747.39,897.986,107.647,3823.59,410.64,250.85,1357.63,154.305,357.305,621.062,153.825,254.19,624.883,161.906,52.9079,311.94,44.7227,350.161,1906.28,27.8732,4000,129.902
GATA5,1.8293,1224.3,255.287,243.576,283.625,6.9452,257.553,315.439,161.045,4.2912,8.1999,44.0549,421.856,339.556,624.313,200.978,88.0082,211.408,1.5215,186.94,17.0215,688.714,392.219,1075.97,483.152,495.73,137.232,824.255,0.4106,903.447,500.115,174.726,106.195,19.5084,940.252,71.0173,19.1481,1797.08,202.922,559.775,12.7001,43.5869,2.3313,53.4925,277.814,1028.66,10.3896,7.7768,1160.68,236.753,71.4203,178.784,342.831,614.019,130.287,278.204,5.322,1.9893,119.856,477.245,114.541,213.544,24.6646,572.823,172.716,747.582,724.497,201.525,246.546,628.037,378.401,636.829,344.883,80.2035,1450.87,156.062,903.432,4.8819,1419.28,15.3473,825.014,122.093,223.811,1.8198,65.6739,93.1914,317.227
OSR1,128.659,7.2595,21.9033,22.409,76.3605,106.494,127.984,659.382,186.616,392.649,166.732,368.327,66.0674,140.444,132.941,171.187,79.7735,213.671,3786.23,161.818,135.074,26.7906,618.137,112.165,314.769,99.5173,153.346,123.404,162.989,1278.77,11.3186,11.3203,125.629,29.6528,780.398,74.856,220.789,7.5608,381.493,69.4405,777.881,299.11,31.2391,1229.37,172.739,61.6822,16.4502,137.237,82.7119,74.9815,371.386,835.519,80.0543,21.4953,510.75,190.786,21.8201,143.23,409.797,145.142,47.9642,779.041,89.5716,222.836,51.2337,93.1518,388.854,292.483,43.5707,79.9425,53.5714,152.174,178.487,71.8411,250.06,63.7673,49.8803,30.7935,218.726,28.2714,123.972,405.635,79.3697,38.6715,134.402,703.756,32.563
