SAMPLE_ID,HAND1,HAND2,MEIS1,MEIS2,MEIS3,MIXL1,EOMES,GATA4,GATA5,OSR1,LMO2,GATA2,TAL1,WT1,MSLN,NF2,BAP1,TP53,BRCA1,YY1,TBP,OTX2,MITF,GAPDH,ATP5PB,GUSB
TCGA-3H-AB3K,0,35.3659,89.0244,3121.34,489.024,0,6.7073,101.219,1.8293,128.659,257.927,15.8537,11.5854,2648.78,57382.3,602.439,2489.63,2632.32,95.7317,1079.27,161.585,0,281.707,83123.2,2132.32,2094.51
TCGA-3H-AB3L,0.8541,31.1733,132.38,3105.37,86.2603,0.427,28.1841,146.899,1224.3,7.2595,204.975,196.434,13.665,1178.18,35713.5,795.986,409.523,1438.24,509.875,1275.54,204.975,0,83.2711,104955,3543.43,2645.46
TCGA-3H-AB3M,0,70.997,170.695,532.477,315.71,0,8.6858,657.855,255.287,21.9033,352.341,162.009,220.544,3689.95,13254.5,480.74,1653.32,1532.1,214.879,840.257,221.299,0,176.359,83205.8,2077.42,2227.34
TCGA-3H-AB3O,1.9486,13.6402,81.3543,503.714,220.68,2.4358,894.41,15.5888,243.576,22.409,848.131,108.635,58.4582,392.644,5155.52,671.295,1525.76,1677.26,361.466,880.77,290.342,0,318.11,81675.8,2119.11,2246.26
TCGA-3H-AB3S,0.4958,50.0806,165.613,1178.63,251.89,4.4626,4.4626,1356.64,283.625,76.3605,212.223,77.3522,26.2799,1846.54,48026.3,617.826,329.738,2436.1,194.372,762.117,331.722,0.4958,89.7484,56985.7,1731.99,1844.55
TCGA-3H-AB3T,0,7.8713,44.9126,471.351,275.958,1.8521,103.253,233.823,6.9452,106.494,496.354,631.092,62.9703,151.869,1881.24,2268.78,506.54,2254.89,589.54,1655.75,441.255,0,88.4362,60062.5,2179.42,2385.92
TCGA-3H-AB3U,0,15.8494,736.602,1345.22,47.5483,1.1887,49.5295,2463.79,257.553,127.984,122.041,12.2833,22.9817,2000.2,59420.3,744.923,392.67,2059.24,107.38,1154.23,245.27,0,154.532,45940.8,2600.1,1611.89
TCGA-3H-AB3X,0.4751,22.3278,971.971,922.09,22.3278,1.9002,51.7815,311.164,315.439,659.382,476.01,23.753,18.0523,5922.09,9176.25,606.651,2485.04,4762.47,183.373,913.064,502.138,0,220.903,80706.4,3495.01,2300.24
TCGA-3U-A98D,0,193.689,96.8444,384.657,608.814,0,14.1458,10.8814,161.045,186.616,268.226,36.9967,30.4679,2068.55,14398.8,363.438,1897.17,2648.53,350.381,867.791,291.621,0,186.616,100189,2555.5,1893.36
TCGA-3U-A98E,0.5364,35.9391,323.452,3192.68,13.4101,4.2912,20.3834,339.545,4.2912,392.649,181.305,47.7401,13.9465,3071.99,78219.7,625.985,158.239,1221.93,60.0774,1111.43,160.922,0,78.8516,22611.1,2721.66,2398.8
TCGA-3U-A98F,0,31.6283,374.073,802.811,455.291,0.3905,3.1238,516.986,8.1999,166.732,176.103,125.342,22.2569,92.542,175.322,438.501,1130.81,4601.72,533.776,1140.96,454.12,0,75.7517,23677.9,1498.24,1599.38
TCGA-3U-A98G,0,208.719,523.603,569.102,696.933,2.1666,40.4438,115.554,44.0549,368.327,649.99,140.109,332.217,283.107,3262.23,1036.37,1836.58,1598.25,168.275,964.151,218.108,0,247.718,70313,1915.3,1672.64
TCGA-3U-A98H,0,55.7782,258.313,1849.89,205.242,3.7908,58.4859,369.327,421.856,66.0674,477.635,85.5627,35.7414,1091.19,37574.5,363.37,647.135,2408.21,152.713,1103.65,256.146,0,113.181,49322.5,2497.02,1856.38
TCGA-3U-A98I,0.8889,112,239.111,936,322.667,0,8,447.111,339.556,140.444,294.222,111.111,62.2222,2369.78,7710.22,556.444,1452.44,1135.11,324.444,960,173.333,0,203.556,71248,2209.78,1568.89
TCGA-3U-A98J,0,179.471,596.191,1493.03,141.634,1.0226,35.2806,1007.8,624.313,132.941,140.611,33.2353,27.0996,2509.52,13191.4,641.698,2187.91,2233.93,87.4345,677.49,192.254,0,171.29,76815,2019.17,1856.07
TCGA-LK-A4NW,0,60.4713,265.007,2480.21,189.417,0.4446,13.7839,2658.96,200.978,171.187,635.838,111.16,97.8213,1876.83,46465.6,1289.46,1513.56,839.484,237.883,1353.94,281.458,0,83.5927,86597.2,3324.14,2596.71
TCGA-LK-A4NY,0,58.1575,356.665,1253.73,421.513,0,8.7494,516.727,88.0082,79.7735,77.2002,21.1014,13.896,2325.78,7801.85,470.921,1691.2,2567.16,133.814,859.496,188.883,0,332.476,102621,1560.47,1591.87
TCGA-LK-A4NZ,1.8108,20.8239,614.305,1837.48,112.268,4.0742,43.0059,879.583,211.408,213.671,430.059,465.822,120.416,1816.21,36529.2,301.494,507.017,1331.37,53.8705,1272.52,327.297,1.3581,160.254,41077,2609.33,1340.88
TCGA-LK-A4O0,1.1411,8.7486,60.0989,279.954,1563.33,0.7607,36.8962,194.751,1.5215,3786.23,330.164,697.223,44.5036,90.9091,1619.63,208.064,2823.51,1982.12,530.24,919.361,235.451,0,203.88,118428,2036.44,1333.97
TCGA-LK-A4O2,0.3694,17.7334,62.0671,1486.28,160.709,0,10.714,1136.79,186.94,161.818,673.132,410.086,14.039,885.933,12009.6,291.124,574.12,1695.02,496.906,948,332.502,0,127.459,131476,1856.47,2422.46
TCGA-LK-A4O4,1.0982,0,117.503,99.3837,90.5984,0.5491,18.1197,2.7454,17.0215,135.074,387.651,371.179,325.056,10.9816,2941.98,831.858,1454.52,665.382,37.3375,1164.05,302.544,0,777.499,25790.9,2460.43,1851.5
TCGA-LK-A4O5,6.5343,30.3844,125.785,917.741,121.211,0,35.2852,203.216,688.714,26.7906,172.832,12.7419,184.92,2633.97,22222.1,366.247,572.73,3022.76,222.166,842.27,337.823,0,128.399,96413.4,2321.63,1691.4
TCGA-LK-A4O6,0,282.398,593.82,4355.99,846.409,0,22.7487,1134.3,392.219,618.137,267.493,118.45,99.6237,3069.51,17784.8,768.75,1380.61,3274.25,58.8329,647.162,285.536,0,98.0548,70277.8,1651.24,1377.47
TCGA-LK-A4O7,5.7102,104.415,110.941,3499.54,880.188,0,9.7889,1742.43,1075.97,112.165,86.8767,19.17,11.0125,525.339,14025.1,107.27,412.358,3275.62,305.088,734.577,364.23,0,66.4831,46088.7,1472.01,1219.54
TCGA-MQ-A4KX,0,68.6425,437.264,1894.31,145.628,0,67.5048,1716.44,483.152,314.769,519.18,29.5807,18.5828,2576.94,43346.1,1109.28,1437.7,1731.61,89.5007,1024.33,180.139,0,125.149,33125.1,1847.66,2111.61
TCGA-MQ-A4LC,0,49.016,222.8,3407.35,25.622,0.7427,19.3093,17.4527,495.73,99.5173,220.943,5.1987,15.9673,3561.08,69594.1,1107.32,304.122,2370.22,97.2893,1003.34,163.758,0,60.156,33884.5,2718.9,2235.05
TCGA-MQ-A4LI,1.5595,11.9558,258.35,959.064,341.001,1.0396,21.3125,415.335,137.232,153.346,122.677,44.7044,31.1891,2642.76,45481.5,627.94,1813.13,2393.24,93.0474,872.255,220.403,0,239.636,70739.4,2011.18,2261.73
TCGA-MQ-A4LJ,0,92.3404,113.617,1142.13,125.957,0.8511,31.9149,2163.4,824.255,123.404,237.872,47.6596,27.6596,4302.98,54435.3,522.128,1890.64,2185.11,120,796.17,288.936,0,140,72813.6,1485.53,1435.32
TCGA-MQ-A4LM,0,12.3165,143.693,159.704,602.279,1.6422,203.223,436.005,0.4106,162.989,452.427,241.404,43.1079,174.074,13.1376,324.746,470.081,2858.26,541.517,1227.96,259.468,0,189.675,127538,3885.87,2062.61
TCGA-MQ-A4LP,2.8651,41.0658,702.893,541.495,236.844,0,2.8651,3402.25,903.447,1278.77,457.453,43.9308,37.2457,2290.13,1227.67,710.533,1388.6,3659.63,350.014,956.45,314.201,0,66.8512,106409,2671.66,1369.5
TCGA-MQ-A4LV,0,51.9818,70.0077,531.555,417.95,0,114.025,316.921,500.115,11.3186,269.55,311.052,25.1525,1131.86,5391.85,338.301,1823.55,3253.89,806.275,1288.64,430.945,0,86.776,214526,1713.3,1567.42
TCGA-MQ-A6BL,0,8.8594,64.9686,208.195,624.585,5.4141,171.281,577.827,174.726,11.3203,676.756,425.249,27.5624,121.57,8692.51,1049.34,1539.07,1954.47,198.843,1136.46,185.554,0,175.711,74549.5,1854.07,1749.23
TCGA-MQ-A6BN,0,367.864,22.9047,806.524,253.34,0,3.4704,2910.98,106.195,125.629,239.459,13.8817,6.9408,934.236,78781.2,682.978,1338.89,2359.88,101.336,590.665,206.143,0,70.1024,169676,4043.73,3092.14
TCGA-MQ-A6BQ,0,3.9017,53.453,2933.67,50.3316,0.3902,29.6528,1145.53,19.5084,29.6528,403.824,15.6067,9.364,3119.39,57628.2,651.19,1747.56,2258.29,86.6172,619.977,171.674,0,86.6172,52807.6,2847.05,1710.89
